model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
alternative_ai | ret_future_1q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00785100006693662,bert_innovation_log_count,-0.02155444901931047,0.009830222471745219,-2.192671537319112,0.02833105285794451
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,profitability,0.06218032531092026,0.013047327613542893,4.765751819275098,1.8815074098285092e-06
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,investment,0.027705710525377507,0.007880851357765237,3.5155732886749917,0.00043880562903361525
alternative_ai | ret_future_1q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007746203750635061,momentum,-0.011494200152549152,0.002168914949550616,-5.299516311107851,1.161098636363971e-07
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,bert_hype_log_count,-0.010918432623844896,0.006655892880490279,-1.640415917126454,0.1009187180375654
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,size,-0.004106868824450012,0.0011228016908076271,-3.657697399347481,0.0002544912470153355
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,bm,-0.010632470546908097,0.003962316470534027,-2.6833976099529195,0.007287828743258857
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,leverage,0.017486463038866713,0.010413506624348071,1.6792098636573767,0.0931111503040763
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,profitability,0.06218392783849864,0.01304287381633569,4.767655404333951,1.8638221802364724e-06
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,investment,0.027713681764691835,0.00787984035390711,3.517035944890735,0.0004363946811835582
alternative_ai | ret_future_1q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007789263756109777,momentum,-0.011488849874987356,0.002166205629787129,-5.30367464519809,1.134945187841886e-07
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,ai_semantic_score,-0.03858277884910328,0.017229772977700092,-2.23930860255905,0.02513584353352822
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,size,-0.003921710316996059,0.001135569700839519,-3.4535179250527426,0.0005533255291728232
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,bm,-0.010793397633818064,0.003960820574694208,-2.725040791490879,0.006429354320897313
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,leverage,0.017201486180617905,0.010382992066925762,1.6566983842173915,0.09758046985562759
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,profitability,0.06196168520481209,0.013042779852936512,4.750650237407921,2.0276358286080064e-06
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,investment,0.027749772043132184,0.007880645283060678,3.5212563243748427,0.0004295072191235169
alternative_ai | ret_future_1q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00788302665740448,momentum,-0.01151002851806456,0.002163671377448402,-5.319674992252398,1.0395278505352858e-07
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,ai_actionable_share,-0.021628734834972123,0.006547464184575574,-3.303375814704691,0.0009552827006915214
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,size,-0.003908834289118793,0.0011269447945258383,-3.4685233101976696,0.0005233271242678847
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,bm,-0.010820486756659291,0.003961837310409029,-2.7311789730058753,0.006310819021229721
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,leverage,0.017219682265623898,0.010369577604123664,1.6605963061384639,0.09679455135564592
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,profitability,0.061947617099857584,0.01303769015370335,4.751425779378673,2.0198730100040192e-06
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,investment,0.02778072739895903,0.00788029751280163,3.525339919441992,0.0004229397090711935
alternative_ai | ret_future_1q | ai_actionable_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_actionable_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008010443570118042,momentum,-0.011520109140881259,0.002164869098218038,-5.321388323369653,1.0297831989912066e-07
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,ai_speculative_share,0.0107166737185465,0.020140198188710205,0.5321036872692664,0.5946541837328367
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,size,-0.004297338322653912,0.00112033862980016,-3.8357494853323484,0.00012518195788405195
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,bm,-0.010554336074403444,0.003959235438252823,-2.6657510620436815,0.007681655064293207
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,leverage,0.017850379820334942,0.010401758528930653,1.716092502117528,0.08614511334210834
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,profitability,0.062246518833186354,0.013045175769768208,4.771612121734744,1.8275719758927255e-06
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,investment,0.027695609537358,0.007879966946962249,3.51468600360497,0.0004402742254453121
alternative_ai | ret_future_1q | ai_speculative_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,ai_speculative_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00775641309714159,momentum,-0.011492776855981787,0.002170005564610163,-5.29619695147945,1.1823930797124646e-07
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,lda_topic2_share,-0.09522509338424034,0.03108762377215602,-3.063119075364318,0.002190428804319209
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,size,-0.0039983047243541655,0.001122182095367288,-3.5629731937983986,0.0003666781351865196
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,bm,-0.010720524045963612,0.003958902360373648,-2.707953637167195,0.006769947910110754
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,leverage,0.017271908349139612,0.010397432134870656,1.6611705779943016,0.09667919285594388
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,profitability,0.062045770774839325,0.013038161712541985,4.7587821153617655,1.9476453453902135e-06
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,investment,0.0276849151338658,0.007878801086622776,3.5138487226021407,0.0004416642635629798
alternative_ai | ret_future_1q | lda_topic2_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic2_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.007930073104541968,momentum,-0.011520740913230998,0.002168083536715391,-5.313790136834267,1.0736826540602938e-07
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,lda_topic8_share,-0.057333649977805635,0.037509919467093374,-1.5284930171098656,0.12639017595912377
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,size,-0.0041236614987035175,0.0011235476374877025,-3.6702150946836483,0.0002423464527453628
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,bm,-0.010665153488024524,0.003963672171493594,-2.690725424955029,0.007129684835706845
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,leverage,0.017480965558059572,0.010407594496917617,1.679635535688564,0.09302824927057318
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,profitability,0.06205432838311641,0.013041875998912295,4.7580829926838595,1.954401476554301e-06
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,investment,0.027723547759199416,0.007879999626178191,3.518216887612388,0.00043445712046324736
alternative_ai | ret_future_1q | lda_topic8_share | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_1q,lda_topic8_share,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.00779559119062101,momentum,-0.011496100626504099,0.0021662768854326508,-5.306847293534265,1.1153754304736459e-07
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,bert_innovation_log_count,-0.07863873763937777,0.03649218759084351,-2.154947204620573,0.031165965868083734
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,size,-0.020283768487962574,0.00659126284417411,-3.0773721163147068,0.002088344240701281
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,bm,0.022409687155976635,0.03604722883972122,0.621675725909974,0.5341551161788525
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,leverage,0.23097184822285155,0.06540855726099955,3.5312175943769155,0.00041365131029963333
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,profitability,0.0459365920370526,0.07536246309945624,0.6095420737035869,0.5421651937502674
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,investment,0.019365100231601966,0.015926870737591414,1.2158760217658744,0.22403215355752637
alternative_ai | ret_future_4q | bert_innovation_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_innovation_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.00541992930470625,momentum,-0.04573867138270564,0.00823497005019821,-5.554200088633564,2.788858861933286e-08
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,bert_risk_log_count,0.0033046771648802477,0.036839355586502275,0.08970507524542753,0.9285215827428103
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,size,-0.02057125636076042,0.006585906747036128,-3.123526820360485,0.001786975781607161
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,bm,0.022688944590725943,0.03607298210591295,0.6289733552970342,0.5293665000588861
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,leverage,0.23254234411118338,0.06539115179200504,3.556174463035148,0.0003762942414209123
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,profitability,0.04612377349892529,0.07542159613213846,0.6115459744198007,0.5408381918611664
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,investment,0.019156319773008728,0.015934561866786236,1.202186789518065,0.22929116641424518
alternative_ai | ret_future_4q | bert_risk_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_risk_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318417870973646,momentum,-0.04579400318042925,0.00825707603425508,-5.546031426917894,2.922263230566256e-08
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,bert_hype_log_count,-0.002871322887121596,0.03652959316302912,-0.078602651672223,0.9373486783375697
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,size,-0.020506191331709847,0.006711577354086957,-3.0553460460710893,0.0022480098242475587
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,bm,0.02264562738852247,0.036004560179182216,0.6289655331386644,0.5293716211518683
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,leverage,0.23243678245925048,0.06587651286408487,3.5283710742068193,0.00041812557054287053
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,profitability,0.04609410437586774,0.07537117837217723,0.6115614134126776,0.5408279743196331
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,investment,0.01917594817583763,0.015927573773902717,1.203946592748317,0.22861022160837607
alternative_ai | ret_future_4q | bert_hype_log_count | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_hype_log_count,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.005318452560390319,momentum,-0.045793234130472156,0.00825831320821624,-5.545107454257393,2.9377370177598716e-08
alternative_ai | ret_future_4q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054320636290412505,ai_semantic_score,-0.13055626301553788,0.07259646893277888,-1.7983831023024992,0.07211631866059084
alternative_ai | ret_future_4q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054320636290412505,size,-0.019368145119550505,0.006668077449900412,-2.904607102282498,0.0036771437151363958
alternative_ai | ret_future_4q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054320636290412505,bm,0.02169283230994787,0.03598022596272358,0.6029098408782144,0.5465686689886267
alternative_ai | ret_future_4q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054320636290412505,leverage,0.23051004864261196,0.06565836296092692,3.510749251847594,0.00044684567630262303
alternative_ai | ret_future_4q | ai_semantic_score | baseline_controls | industry_quarter_FE | firm_cluster,ret_future_4q,ai_semantic_score,"size, bm, leverage, profitability, investment, momentum",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.0054320636290412505,profitability,0.04537572159411914,0.07543789032081813,0.6014977539953431,0.5475085072851749
