model,outcome,ai_var,controls,fixed_effects,clusters,n_obs,n_firms,n_quarters,status,r2,term,coef,se,t,p
ret_future_1q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008025122152084618,bert_adoption_dummy,-0.015019159175709793,0.005947905887970924,-2.525117151918059,0.011565972584887152
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,bm,-0.010936639275712774,0.003976372774485197,-2.750405934244606,0.005952147812696718
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,leverage,0.01609016247070305,0.01050189635216976,1.5321197173478787,0.12549289495642874
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,profitability,0.053326843181636344,0.017547985664722206,3.038915360458869,0.0023743155063668886
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,investment,0.0274586857811392,0.00788675680115827,3.481619437929992,0.0004983914584051593
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,momentum,-0.011442103802589398,0.0021475022828881373,-5.328098551402292,9.924627199212944e-08
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,rd,-0.03851229985206976,0.03394038978169225,-1.1347041121149306,0.25649931380239366
ret_future_1q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,32758,4403,10,ok_clustered,0.008020335068632534,capex,-0.044651475577208576,0.060140381061180234,-0.742454151259618,0.4578122207987102
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,bert_adoption_log_count,-0.014811614693444115,0.007678091694650522,-1.929074994475992,0.053721552775411074
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,size,-0.16363261578573615,0.022756358859974072,-7.190632596041008,6.449181056509005e-13
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,bm,-0.02331491229787752,0.008957254184177239,-2.602908415735563,0.009243664295228994
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,leverage,0.01526959626063623,0.04611907357878265,0.3310906979636533,0.7405759777223437
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,profitability,0.07876267959204752,0.021688022745535045,3.631621034161012,0.0002816465096770579
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,investment,0.04400533071707696,0.009699798685783365,4.536726188098516,5.7134207449703034e-06
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,momentum,-0.048928629257940615,0.007804069227921814,-6.269630346548076,3.619062302247314e-10
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,rd,-0.09808548557294282,0.07617597171688865,-1.2876171233821845,0.1978792756821821
ret_future_1q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_1q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,32758,4403,10,ok_clustered,0.04030078745313115,capex,-0.40298496543398665,0.15490814444241022,-2.6014446618318594,0.009283204080020143
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,bert_adoption_dummy,-0.05034319677088145,0.022191004231123832,-2.268630849084016,0.023290783995034432
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,size,-0.02085654948627045,0.006416738285148568,-3.250335070473823,0.0011526910767189797
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,bm,0.019683936209753904,0.03591534175805639,0.5480648448887022,0.5836473784517897
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,leverage,0.21247866569226342,0.06317175936202697,3.363507172161901,0.0007695883655959475
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,profitability,-0.039995247430245705,0.08695576224232193,-0.459949362743666,0.6455525673633201
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,investment,0.016390847511471875,0.016403129630904074,0.9992512331665624,0.3176730028305823
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,momentum,-0.04564064482720892,0.008090616709455163,-5.641182429748603,1.688863033433521e-08
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,rd,-0.3676425384027983,0.19631084816863295,-1.8727571187863736,0.06110193188020569
ret_future_4q | bert_adoption_dummy | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006075547397451642,capex,0.22776334575811463,0.30345877405839744,0.7505577865225409,0.4529188342278956
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,bert_adoption_dummy,-0.0394872424925915,0.02736109095655145,-1.4431896211776056,0.14896706242573576
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,size,-0.796341327920445,0.14870053492421442,-5.35533600014487,8.539757375523227e-08
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,bm,0.13667244501265913,0.10308880647146249,1.325773861301745,0.18491461350155536
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,leverage,0.4195783448737107,0.26680091107669945,1.5726271067833464,0.11580518727327249
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,profitability,-0.018368211559160474,0.13161022769684427,-0.1395652289385174,0.8890035149614832
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,investment,0.050524081438720905,0.035713935723732694,1.4146881438537882,0.15715995210788516
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,momentum,-0.28825563458987374,0.03544245339884413,-8.133060974815995,4.1858394679735845e-16
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,rd,-0.15800410190062497,0.37422019566122167,-0.4222222737643607,0.6728627851041712
ret_future_4q | bert_adoption_dummy | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_dummy,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.1290096399735463,capex,-1.8703963348290968,0.7499646165886387,-2.4939794404394195,0.012631986092224202
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,bert_adoption_log_count,-0.03041950293069171,0.018526373484319337,-1.6419566925193794,0.1005989794839521
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,size,-0.021158989546101296,0.006408254377769854,-3.3018335881767644,0.0009605503971945471
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,bm,0.019964807778871354,0.03593045297790463,0.55565143559834,0.5784491619585455
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,leverage,0.21302841572625983,0.06321090041166691,3.370121519214128,0.0007513504184211257
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,profitability,-0.03967032071394367,0.0869617286780083,-0.4561813721623484,0.6482595594748821
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,investment,0.016418534491612673,0.016401478298359543,1.0010399180453653,0.3168075100914014
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,momentum,-0.04558506134807292,0.008093540073609084,-5.6322772153453435,1.7784550770993994e-08
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,rd,-0.3671328485904869,0.1963663338615817,-1.8696323416073868,0.061534890892098
ret_future_4q | bert_adoption_log_count | extended_controls | industry_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",industry_fe + yq,gvkey,26599,4133,8,ok_clustered,0.006017457605224763,capex,0.22992205902125445,0.30367384287590815,0.7571348814366232,0.4489690582335206
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,bert_adoption_log_count,-0.019098048825220836,0.022694385371613904,-0.841531881674515,0.4000500321392655
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,size,-0.7958647713828547,0.14857989560926776,-5.3564768511872085,8.486036665711441e-08
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,bm,0.1365034194850691,0.10307053128722163,1.3243690294433594,0.18538051509674025
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,leverage,0.42003002511561544,0.26701860792892446,1.5730365324480302,0.11571035933711621
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,profitability,-0.018580013292414585,0.13146622415194012,-0.14132917722609126,0.8876099008491996
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,investment,0.0504149747720298,0.03573430921898965,1.4108283012572875,0.15829524738415668
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,momentum,-0.28822255380845746,0.035456577655829616,-8.128888146120024,4.3324585396281564e-16
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,rd,-0.1577093191273528,0.37416107458306286,-0.4215011390564673,0.6733891796056894
ret_future_4q | bert_adoption_log_count | extended_controls | firm_quarter_FE | firm_cluster,ret_future_4q,bert_adoption_log_count,"size, bm, leverage, profitability, investment, momentum, rd, capex",gvkey + yq,gvkey,26599,4133,8,ok_clustered,0.12896236787696025,capex,-1.867488021401058,0.7497461494020887,-2.490827092463698,0.012744612546387793
