gvkey,year,quarter,n_rows
100258,2021,4,1
100258,2022,1,1
100259,2020,1,1
100259,2020,2,1
100259,2020,3,1
100259,2020,4,1
100259,2021,1,1
100259,2021,4,1
100280,2020,1,1
100280,2020,2,1
100280,2020,3,1
100280,2020,4,1
100280,2021,1,1
100280,2021,2,1
100280,2021,3,1
100280,2021,4,1
100280,2022,1,1
100288,2020,1,1
100288,2020,2,1
100288,2020,3,1
100288,2020,4,1
100288,2021,1,1
100288,2021,2,1
100288,2021,3,1
100288,2021,4,1
100288,2022,1,1
100292,2020,1,1
100292,2020,3,1
100292,2021,1,1
100292,2021,3,1
100292,2022,1,1
100296,2020,3,1
100301,2020,1,1
100301,2020,2,1
100301,2020,3,1
100301,2020,4,1
100301,2021,1,1
100301,2021,2,1
100301,2021,3,1
100301,2021,4,1
100301,2022,1,1
100301,2022,2,1
100336,2020,1,1
100336,2020,2,1
100336,2020,3,1
100336,2020,4,1
100336,2021,1,1
100336,2021,2,1
100336,2021,3,1
100336,2021,4,1
100336,2022,1,1
100336,2022,2,1
100338,2020,1,1
100338,2020,3,1
100338,2020,4,1
100338,2021,1,1
100338,2021,3,1
100338,2021,4,1
100338,2022,1,1
100338,2022,2,1
100346,2020,1,1
100346,2020,2,1
100346,2020,3,1
100346,2020,4,1
100346,2021,1,1
100346,2021,2,1
100346,2021,3,1
100346,2021,4,1
100346,2022,1,1
100346,2022,2,1
10035,2020,1,1
10035,2020,2,1
10035,2020,3,1
10035,2020,4,1
10035,2021,1,1
10035,2021,2,1
10035,2021,3,1
10035,2021,4,1
10035,2022,1,1
10035,2022,2,1
100362,2020,1,1
100362,2020,2,1
100362,2020,3,1
100362,2020,4,1
100362,2021,1,1
100362,2021,2,1
100362,2021,3,1
100362,2021,4,1
100362,2022,1,1
100368,2020,1,1
100368,2020,2,1
100368,2020,3,1
100368,2020,4,1
100368,2021,1,1
100368,2021,2,1
100368,2021,3,1
100368,2021,4,1
100368,2022,1,1
100368,2022,2,1
100369,2020,1,1
100369,2020,2,1
100369,2020,3,1
100369,2020,4,1
100369,2021,1,1
100369,2021,2,1
100369,2021,3,1
100369,2021,4,1
100369,2022,1,1
100373,2020,1,1
100373,2020,2,1
100373,2020,3,1
100373,2020,4,1
100373,2021,1,1
100373,2021,2,1
100373,2021,3,1
100373,2021,4,1
100373,2022,1,1
100376,2020,1,1
100376,2020,3,1
100376,2021,1,1
100390,2020,1,1
100390,2020,3,1
100390,2021,1,1
100390,2021,3,1
100390,2022,1,1
1004,2020,1,1
1004,2020,3,1
1004,2020,4,1
1004,2021,1,1
1004,2021,3,1
1004,2021,4,1
1004,2022,1,1
100401,2020,1,1
100401,2020,3,1
100401,2020,4,1
100401,2021,1,1
100401,2021,3,1
100401,2022,1,1
100418,2020,1,1
100418,2020,2,1
100418,2020,3,1
100418,2020,4,1
100418,2021,1,1
100418,2021,2,1
100418,2021,3,1
100418,2021,4,1
100418,2022,1,1
100424,2020,1,1
100424,2020,3,1
100424,2021,1,1
100424,2021,3,1
100424,2022,1,1
100431,2020,1,1
100431,2020,2,1
100431,2020,3,1
100431,2020,4,1
100431,2021,1,1
100431,2021,2,1
100431,2021,3,1
100431,2021,4,1
100431,2022,1,1
100434,2020,1,1
100434,2020,3,1
100434,2021,1,1
100434,2021,3,1
100434,2022,1,1
100435,2020,1,1
100435,2020,2,1
100435,2020,3,1
100435,2020,4,1
100435,2021,1,1
100435,2021,2,1
100435,2021,3,1
100435,2021,4,1
100435,2022,1,1
100441,2020,1,1
100441,2020,2,1
100441,2020,3,1
100441,2020,4,1
100441,2021,1,1
100441,2021,2,1
100441,2021,3,1
100441,2021,4,1
100442,2020,2,1
100442,2020,4,1
100442,2021,2,1
100442,2021,4,1
100449,2020,1,1
100449,2021,1,1
100449,2022,1,1
100461,2020,1,1
100461,2020,3,1
100461,2020,4,1
100461,2021,1,1
100461,2021,3,1
100461,2021,4,1
100461,2022,1,1
100465,2020,1,1
100465,2020,2,1
100465,2020,3,1
100465,2020,4,1
100465,2021,1,1
100465,2021,3,1
100465,2021,4,1
100465,2022,1,1
100477,2020,1,1
100477,2020,2,1
100477,2020,3,1
100477,2020,4,1
100477,2021,1,1
100477,2021,2,1
100477,2021,3,1
100477,2021,4,1
100477,2022,1,1
100486,2020,1,1
100486,2020,2,1
100486,2020,3,1
100486,2020,4,1
100486,2021,1,1
100486,2021,2,1
100486,2021,3,1
100486,2021,4,1
100486,2022,1,1
100490,2020,2,1
100490,2020,4,1
100490,2021,2,1
100498,2020,1,1
100498,2020,3,1
100498,2021,1,1
100498,2021,4,1
100498,2022,1,1
100499,2020,1,1
100499,2020,2,1
100499,2020,3,1
100499,2020,4,1
100499,2021,1,1
100499,2021,2,1
100499,2021,3,1
100499,2021,4,1
100499,2022,1,1
100508,2020,4,1
100508,2021,2,1
100508,2021,4,1
100516,2022,1,1
100517,2020,1,1
100517,2020,3,1
100517,2021,1,1
100517,2022,1,1
100522,2020,1,1
100522,2020,2,1
100522,2020,3,1
100522,2020,4,1
100522,2021,1,1
100522,2021,2,1
100522,2021,3,1
100522,2021,4,1
100522,2022,1,1
100536,2020,1,1
100536,2021,1,1
100536,2021,3,1
100545,2020,1,1
100545,2020,2,1
100545,2020,3,1
100545,2020,4,1
100545,2021,1,1
100547,2020,2,1
100547,2021,4,1
100555,2020,1,1
100555,2020,2,1
100555,2020,3,1
100555,2020,4,1
100555,2021,1,1
100555,2021,2,1
100555,2021,3,1
100555,2021,4,1
100555,2022,1,1
100557,2020,1,1
100557,2020,2,1
100557,2020,3,1
100557,2021,1,1
100557,2021,2,1
100557,2021,3,1
100557,2021,4,1
100557,2022,1,1
10056,2020,1,1
10056,2020,2,1
10056,2020,3,1
10056,2020,4,1
10056,2021,1,1
10056,2021,2,1
10056,2021,3,1
10056,2021,4,1
10056,2022,1,1
10056,2022,2,1
100562,2020,1,1
100562,2020,3,1
100562,2021,1,1
100562,2021,3,1
100562,2022,1,1
100572,2020,1,1
100572,2020,2,1
100572,2020,3,1
100572,2020,4,1
100572,2021,1,1
100572,2021,2,1
100572,2021,3,1
100572,2021,4,1
100572,2022,1,1
100575,2020,1,1
100575,2020,3,1
100575,2021,1,1
100575,2021,3,1
100575,2021,4,1
100575,2022,1,1
100581,2020,1,1
100581,2020,2,1
100581,2020,3,1
100581,2020,4,1
100581,2021,1,1
100581,2021,2,1
100581,2021,3,1
100581,2021,4,1
100581,2022,1,1
100581,2022,2,1
100590,2020,1,1
100590,2020,2,1
100590,2020,3,1
100590,2020,4,1
100590,2021,1,1
100590,2021,2,1
100590,2021,3,1
100590,2021,4,1
100590,2022,1,1
100609,2020,1,1
100609,2020,2,1
100609,2020,3,1
100609,2020,4,1
100609,2021,1,1
100609,2021,2,1
100609,2021,3,1
100609,2021,4,1
100609,2022,1,1
100609,2022,2,1
100613,2020,4,1
100619,2020,1,1
100619,2020,3,1
100619,2021,1,1
100619,2021,3,1
100619,2022,1,1
100635,2020,1,1
100635,2020,2,1
100635,2020,3,1
100635,2020,4,1
100635,2021,1,1
100635,2021,2,1
100635,2021,3,1
100635,2021,4,1
100635,2022,1,1
100635,2022,2,1
100640,2020,1,1
100640,2020,2,1
100640,2020,3,1
100640,2020,4,1
100640,2021,1,1
100640,2021,2,1
100640,2021,3,1
100640,2021,4,1
100640,2022,1,1
100644,2020,1,1
100644,2020,2,1
100644,2020,3,1
100644,2020,4,1
100644,2021,1,1
100644,2021,2,1
100644,2021,3,1
100644,2021,4,1
100644,2022,1,1
100648,2020,1,1
100648,2020,3,1
100648,2021,1,1
100648,2021,3,1
100648,2022,1,1
100650,2020,1,1
100650,2020,2,1
100650,2020,3,1
100650,2020,4,1
100650,2021,1,1
100650,2021,2,1
100650,2021,3,1
100650,2021,4,1
100650,2022,1,1
100650,2022,2,1
100651,2020,1,1
100651,2020,3,1
100651,2021,1,1
100651,2021,3,1
100651,2021,4,1
100651,2022,1,1
100654,2022,1,1
100658,2020,1,1
100658,2020,2,1
100658,2020,3,1
100658,2020,4,1
100658,2021,1,1
100658,2021,2,1
100658,2021,3,1
100658,2021,4,1
100658,2022,1,1
100659,2021,1,1
100665,2020,1,1
100665,2020,3,1
100665,2021,1,1
100665,2021,3,1
100665,2022,1,1
100667,2020,1,1
100667,2020,2,1
100667,2020,3,1
100667,2020,4,1
100667,2021,1,1
100667,2021,2,1
100667,2021,3,1
100667,2021,4,1
100667,2022,1,1
100668,2020,1,1
100668,2020,2,1
100668,2020,3,1
100668,2020,4,1
100668,2021,1,1
100668,2021,2,1
100668,2021,3,1
100668,2021,4,1
100668,2022,1,1
100668,2022,2,1
100671,2020,2,1
100676,2020,1,1
100676,2020,2,1
100676,2020,3,1
100676,2020,4,1
100676,2021,1,1
100676,2021,2,1
100676,2021,3,1
100676,2021,4,1
100676,2022,1,1
100686,2020,1,1
100686,2020,2,1
100686,2020,3,1
100686,2020,4,1
100686,2021,1,1
100686,2021,2,1
100686,2021,3,1
100686,2021,4,1
100686,2022,1,1
100689,2020,1,1
100689,2020,2,1
100689,2020,3,1
100689,2020,4,1
100689,2021,1,1
100689,2021,2,1
100689,2021,3,1
100689,2021,4,1
100689,2022,1,1
100694,2020,2,1
100694,2020,4,1
100694,2021,2,1
100694,2021,4,1
100696,2020,1,1
100696,2020,2,1
100696,2020,3,1
100696,2020,4,1
100696,2021,1,1
100696,2021,2,1
100696,2021,3,1
100696,2021,4,1
100696,2022,1,1
100712,2020,1,1
100712,2020,2,1
100712,2020,3,1
100712,2020,4,1
100712,2021,1,1
100712,2021,2,1
100712,2021,3,1
100712,2021,4,1
100712,2022,1,1
100713,2020,2,1
100713,2020,4,1
100713,2021,2,1
100713,2021,4,1
100718,2020,1,1
100718,2020,2,1
100718,2020,3,1
100718,2020,4,1
100718,2021,1,1
100718,2021,2,1
100718,2021,3,1
100718,2021,4,1
100718,2022,1,1
100724,2020,1,1
100724,2020,2,1
100724,2020,3,1
100724,2020,4,1
100724,2021,1,1
100724,2021,2,1
100724,2021,3,1
100724,2021,4,1
100724,2022,1,1
100728,2020,1,1
100728,2020,4,1
100728,2021,1,1
100728,2021,4,1
100728,2022,1,1
100730,2020,2,1
100730,2020,3,1
100730,2020,4,1
100730,2021,2,1
100730,2021,4,1
100736,2020,1,1
100736,2020,2,1
100736,2020,3,1
100736,2020,4,1
100736,2021,1,1
100736,2021,2,1
100736,2021,3,1
100736,2021,4,1
100736,2022,1,1
100737,2020,1,1
100737,2020,2,1
100737,2020,3,1
100737,2020,4,1
100737,2021,1,1
100737,2021,2,1
100737,2021,3,1
100737,2021,4,1
100737,2022,1,1
100737,2022,2,1
100743,2020,1,1
100743,2020,2,1
100743,2020,3,1
100743,2020,4,1
100743,2021,1,1
100743,2021,2,1
100743,2021,3,1
100743,2022,1,1
100744,2020,1,1
100744,2020,2,1
100744,2020,3,1
100744,2020,4,1
100744,2021,1,1
100744,2021,2,1
100744,2021,3,1
100744,2021,4,1
100744,2022,1,1
100744,2022,2,1
100746,2020,1,1
100746,2020,2,1
100746,2020,3,1
100746,2020,4,1
100746,2021,1,1
100746,2021,2,1
100746,2021,3,1
100746,2021,4,1
100746,2022,1,1
100751,2020,1,1
100751,2020,3,1
100751,2020,4,1
100751,2021,1,1
100751,2021,3,1
100751,2022,1,1
100760,2020,2,1
100760,2020,3,1
100760,2021,1,1
100760,2021,3,1
100760,2022,1,1
100764,2020,1,1
100764,2020,2,1
100764,2020,3,1
100764,2020,4,1
100764,2021,1,1
100764,2021,2,1
100764,2021,3,1
100764,2021,4,1
100764,2022,1,1
100767,2020,1,1
100767,2020,3,1
100767,2021,1,1
100767,2021,3,1
100767,2022,1,1
100769,2020,1,1
100769,2020,3,1
100769,2021,1,1
100769,2021,3,1
100769,2022,1,1
100773,2020,1,1
100773,2020,2,1
100773,2020,3,1
100773,2020,4,1
100773,2021,1,1
100773,2021,2,1
100773,2021,3,1
100773,2021,4,1
100773,2022,1,1
100773,2022,2,1
100774,2020,2,1
100774,2020,3,1
100774,2020,4,1
100774,2021,2,1
100774,2021,4,1
100778,2020,1,1
100778,2020,2,1
100778,2020,3,1
100778,2020,4,1
100778,2021,1,1
100778,2021,2,1
100778,2021,3,1
100778,2021,4,1
100778,2022,1,1
100783,2020,1,1
100783,2020,2,1
100783,2020,3,1
100783,2020,4,1
100783,2021,1,1
100783,2021,2,1
100783,2021,3,1
100783,2021,4,1
100783,2022,1,1
100783,2022,2,1
100787,2020,1,1
100787,2020,2,1
100787,2020,3,1
100787,2020,4,1
100787,2021,1,1
100787,2021,2,1
100787,2021,4,1
100787,2022,1,1
100787,2022,2,1
100800,2020,3,1
100800,2020,4,1
100800,2021,1,1
100800,2021,2,1
100800,2021,3,1
100800,2021,4,1
100800,2022,1,1
100801,2020,1,1
100801,2020,2,1
100801,2020,3,1
100801,2020,4,1
100801,2021,1,1
100801,2021,2,1
100801,2021,3,1
100801,2021,4,1
100801,2022,1,1
100801,2022,2,1
100806,2020,1,1
100806,2020,2,1
100806,2020,3,1
100806,2020,4,1
100806,2021,1,1
100806,2021,2,1
100806,2021,3,1
100806,2021,4,1
100806,2022,1,1
100806,2022,2,1
100816,2020,1,1
100816,2020,2,1
100816,2020,3,1
100816,2020,4,1
100816,2021,1,1
100816,2021,3,1
100816,2021,4,1
100816,2022,1,1
100835,2020,1,1
100835,2020,2,1
100835,2020,3,1
100835,2020,4,1
100835,2021,1,1
100835,2021,2,1
100835,2021,3,1
100835,2022,1,1
100835,2022,2,1
10086,2020,1,1
10086,2020,2,1
10086,2020,3,1
10086,2020,4,1
10086,2021,1,1
10086,2021,2,1
10086,2021,3,1
10086,2021,4,1
10086,2022,1,1
10086,2022,2,1
100862,2020,1,1
100862,2020,2,1
100862,2020,3,1
100862,2020,4,1
100862,2021,1,1
100862,2021,2,1
100862,2021,3,1
100862,2021,4,1
100862,2022,1,1
100862,2022,2,1
100873,2020,1,1
100873,2020,2,1
100873,2020,3,1
100873,2020,4,1
100873,2021,1,1
100873,2021,2,1
100873,2021,3,1
100873,2021,4,1
100873,2022,1,1
100883,2020,1,1
100883,2020,2,1
100883,2020,3,1
100883,2020,4,1
100883,2021,1,1
100883,2021,2,1
100883,2021,3,1
100883,2022,1,1
100883,2022,2,1
100894,2020,1,1
100894,2020,2,1
100894,2020,3,1
100894,2020,4,1
100894,2021,1,1
100894,2021,2,1
100894,2021,3,1
100894,2021,4,1
100894,2022,1,1
100894,2022,2,1
100900,2020,1,1
100900,2020,3,1
100900,2021,1,1
100900,2021,3,1
100900,2022,1,1
100909,2020,1,1
100909,2020,2,1
100909,2020,3,1
100909,2020,4,1
100909,2021,1,1
100909,2021,2,1
100909,2021,3,1
100909,2021,4,1
100909,2022,1,1
100913,2020,1,1
100913,2020,2,1
100913,2020,3,1
100913,2020,4,1
100913,2021,1,1
100913,2021,2,1
100913,2021,3,1
100913,2021,4,1
100913,2022,1,1
100913,2022,2,1
100918,2020,1,1
100918,2020,3,1
100918,2020,4,1
100918,2021,1,1
100918,2021,3,1
100918,2021,4,1
100918,2022,1,1
100921,2020,1,1
100921,2020,3,1
100921,2021,1,1
100921,2021,2,1
100921,2021,3,1
100921,2022,1,1
100922,2020,1,1
100922,2020,3,1
100922,2021,1,1
100922,2021,3,1
100922,2022,1,1
100951,2020,2,1
100951,2020,3,1
100951,2020,4,1
100951,2021,2,1
100951,2021,4,1
100951,2022,1,1
100953,2020,1,1
100953,2020,2,1
100953,2020,3,1
100953,2020,4,1
100953,2021,1,1
100953,2021,2,1
100953,2021,3,1
100953,2021,4,1
100953,2022,1,1
100956,2020,1,1
100956,2020,2,1
100956,2020,3,1
100956,2020,4,1
100956,2021,1,1
100956,2021,2,1
100956,2021,3,1
100956,2021,4,1
100956,2022,1,1
100957,2020,1,1
100957,2020,2,1
100957,2020,3,1
100957,2020,4,1
100957,2021,1,1
100957,2021,2,1
100957,2021,3,1
100957,2021,4,1
100957,2022,1,1
100957,2022,2,1
10096,2020,1,1
10096,2020,2,1
10096,2020,3,1
10096,2020,4,1
10096,2021,1,1
10096,2021,2,1
10096,2022,1,1
10096,2022,2,1
100980,2020,1,1
100980,2020,2,1
100980,2020,3,1
100980,2020,4,1
100980,2021,1,1
100980,2021,2,1
100980,2021,3,1
100980,2021,4,1
100980,2022,1,1
100980,2022,2,1
101004,2020,1,1
101004,2020,3,1
101004,2020,4,1
101004,2021,1,1
101004,2021,2,1
101004,2021,3,1
101004,2021,4,1
101004,2022,1,1
101008,2020,1,1
101008,2020,3,1
101008,2021,1,1
101008,2021,3,1
101008,2021,4,1
101008,2022,1,1
101009,2020,2,1
101009,2020,4,1
101009,2021,2,1
101009,2021,4,1
101017,2020,1,1
101017,2020,2,1
101017,2020,3,1
101017,2020,4,1
101017,2021,1,1
101017,2021,2,1
101017,2021,3,1
101017,2021,4,1
101017,2022,1,1
101017,2022,2,1
101020,2020,1,1
101020,2020,2,1
101020,2020,3,1
101020,2020,4,1
101020,2021,1,1
101020,2021,2,1
101020,2021,3,1
101020,2021,4,1
101020,2022,1,1
101020,2022,2,1
101023,2020,1,1
101023,2020,2,1
101023,2020,3,1
101023,2020,4,1
101023,2021,1,1
101023,2021,2,1
101023,2021,3,1
101023,2021,4,1
101023,2022,1,1
101023,2022,2,1
101034,2021,1,1
101042,2020,1,1
101042,2020,2,1
101042,2020,3,1
101042,2020,4,1
101042,2021,1,1
101042,2021,2,1
101042,2021,3,1
101042,2022,1,1
101048,2020,1,1
101048,2020,2,1
101048,2020,3,1
101048,2020,4,1
101048,2021,1,1
101048,2021,2,1
101048,2021,3,1
101048,2021,4,1
101048,2022,1,1
101048,2022,2,1
101052,2020,1,1
101052,2020,3,1
101052,2021,1,1
101052,2021,3,1
101052,2021,4,1
101052,2022,1,1
101056,2021,3,1
101056,2022,2,1
101069,2020,1,1
101069,2020,2,1
101069,2020,3,1
101069,2020,4,1
101069,2021,1,1
101069,2021,2,1
101069,2021,3,1
101069,2021,4,1
101069,2022,1,1
101083,2020,1,1
101083,2020,2,1
101083,2020,3,1
101083,2020,4,1
101083,2021,1,1
101083,2021,2,1
101083,2021,3,1
101083,2021,4,1
101083,2022,1,1
101083,2022,2,1
101088,2020,1,1
101088,2020,3,1
101088,2021,1,1
101088,2021,3,1
101088,2022,1,1
101095,2020,4,1
101095,2021,1,1
101095,2021,3,1
101097,2020,1,1
101097,2020,2,1
101097,2020,3,1
101097,2020,4,1
101097,2021,1,1
101097,2021,2,1
101097,2021,3,1
101097,2021,4,1
101097,2022,1,1
101101,2020,2,1
101101,2020,4,1
101101,2021,2,1
101101,2021,4,1
101110,2022,1,1
101112,2020,2,1
101112,2020,3,1
101112,2021,4,1
101120,2022,1,1
101122,2021,3,1
101122,2021,4,1
101130,2020,1,1
101130,2020,2,1
101130,2020,3,1
101130,2020,4,1
101130,2021,1,1
101130,2021,2,1
101130,2021,3,1
101130,2021,4,1
101130,2022,1,1
101130,2022,2,1
101131,2020,1,1
101131,2020,2,1
101131,2020,3,1
101131,2020,4,1
101131,2021,1,1
101131,2021,2,1
101131,2021,3,1
101131,2021,4,1
101131,2022,1,1
10115,2020,1,1
10115,2020,2,1
10115,2020,3,1
10115,2020,4,1
10115,2021,1,1
10115,2021,2,1
10115,2021,3,1
10115,2021,4,1
10115,2022,1,1
10115,2022,2,1
101156,2020,1,1
101156,2020,2,1
101156,2020,3,1
101156,2020,4,1
101156,2021,1,1
101156,2021,2,1
101156,2021,3,1
101156,2021,4,1
101156,2022,1,1
101173,2020,1,1
101173,2020,2,1
101173,2020,3,1
101173,2020,4,1
101173,2021,2,1
101173,2021,3,1
101173,2021,4,1
101173,2022,2,1
101178,2020,1,1
101178,2020,2,1
101178,2020,3,1
101178,2020,4,1
101178,2021,1,1
101178,2021,2,1
101178,2021,3,1
101178,2021,4,1
101178,2022,1,1
101178,2022,2,1
101180,2020,1,1
101180,2020,3,1
101180,2021,1,1
101180,2021,3,1
101180,2022,1,1
101182,2020,1,1
101182,2020,3,1
101182,2021,1,1
101182,2021,3,1
101182,2022,1,1
101202,2020,1,1
101202,2020,2,1
101202,2020,3,1
101202,2020,4,1
101202,2021,1,1
101202,2021,2,1
101202,2021,3,1
101202,2021,4,1
101202,2022,1,1
101202,2022,2,1
101204,2020,1,1
101204,2020,2,1
101204,2020,3,1
101204,2020,4,1
101204,2021,1,1
101204,2021,2,1
101204,2021,3,1
101204,2021,4,1
101204,2022,1,1
101204,2022,2,1
101207,2020,1,1
101207,2020,3,1
101207,2021,1,1
101207,2021,3,1
101207,2021,4,1
101207,2022,1,1
10121,2020,1,1
10121,2020,2,1
10121,2020,3,1
10121,2021,1,1
10121,2021,3,1
10121,2021,4,1
10121,2022,1,1
10121,2022,2,1
101232,2020,1,1
101232,2020,2,1
101232,2020,3,1
101232,2020,4,1
101232,2021,1,1
101232,2021,2,1
101232,2021,3,1
101232,2021,4,1
101232,2022,1,1
10124,2020,1,1
10124,2020,2,1
10124,2020,3,1
10124,2020,4,1
10124,2021,1,1
10124,2021,2,1
10124,2021,3,1
10124,2021,4,1
